0.000000000000000000e+00,1.769440031051635742e+01,2.264901053667068481e+03,5.657999999999999829e+01
1.000000000000000000e+00,3.473084473609924316e+01,1.686059954345226288e+03,6.459999999999999432e+01
2.000000000000000000e+00,5.157398152351379395e+01,1.432676643908023834e+03,6.718000000000000682e+01
3.000000000000000000e+00,6.821438050270080566e+01,1.267359666943550110e+03,6.915999999999999659e+01
4.000000000000000000e+00,8.472723889350891113e+01,1.143589574873447418e+03,6.951999999999999602e+01
5.000000000000000000e+00,1.018507325649261475e+02,1.047101062774658203e+03,7.010999999999999943e+01
6.000000000000000000e+00,1.186295857429504395e+02,9.595274345874786377e+02,6.946999999999999886e+01
7.000000000000000000e+00,1.357001416683197021e+02,8.773985990434885025e+02,7.065999999999999659e+01
8.000000000000000000e+00,1.517507264614105225e+02,8.123105129599571228e+02,6.993000000000000682e+01
9.000000000000000000e+00,1.683799939155578613e+02,7.487093657180666924e+02,7.120000000000000284e+01
1.000000000000000000e+01,1.852309458255767822e+02,6.890312574729323387e+02,6.937999999999999545e+01
1.100000000000000000e+01,2.020490882396697998e+02,6.331004585325717926e+02,7.109999999999999432e+01
1.200000000000000000e+01,2.184463665485382080e+02,5.848684253469109535e+02,7.109999999999999432e+01
1.300000000000000000e+01,2.356371648311614990e+02,5.416636047475039959e+02,7.029999999999999716e+01
1.400000000000000000e+01,2.524206621646881104e+02,4.989209582582116127e+02,7.040999999999999659e+01
