0.000000000000000000e+00,2.705369496345520020e+01,2.670106199026107788e+03,4.925999999999999801e+01
1.000000000000000000e+00,5.336817789077758789e+01,1.889552964210510254e+03,6.168999999999999773e+01
2.000000000000000000e+00,7.986519527435302734e+01,1.475350102245807648e+03,6.882999999999999829e+01
3.000000000000000000e+00,1.059550297260284424e+02,1.180171077728271484e+03,7.232999999999999829e+01
4.000000000000000000e+00,1.318463082313537598e+02,9.466317785978317261e+02,7.248999999999999488e+01
5.000000000000000000e+00,1.581043996810913086e+02,7.343494693562388420e+02,7.417000000000000171e+01
6.000000000000000000e+00,1.842518568038940430e+02,5.534420631267130375e+02,7.654000000000000625e+01
7.000000000000000000e+00,2.103672680854797363e+02,4.131512109767645597e+02,7.490000000000000568e+01
8.000000000000000000e+00,2.364113783836364746e+02,3.086411533262580633e+02,7.640999999999999659e+01
9.000000000000000000e+00,2.627813894748687744e+02,2.421998377917334437e+02,7.567000000000000171e+01
1.000000000000000000e+01,2.891160726547241211e+02,1.952411487519275397e+02,7.320000000000000284e+01
1.100000000000000000e+01,3.150619904994964600e+02,1.673189197728643194e+02,7.600000000000000000e+01
1.200000000000000000e+01,3.411526830196380615e+02,1.442861403893912211e+02,7.543999999999999773e+01
1.300000000000000000e+01,3.670138564109802246e+02,1.284303872394375503e+02,7.576999999999999602e+01
1.400000000000000000e+01,3.932020504474639893e+02,1.221822132940869778e+02,7.676999999999999602e+01
